# RS_fpr;RS_tpr;CS_fpr;CS_tpr;LS_fpr;LS_tpr;MS_fpr;MS_tpr;PS_fpr;PS_tpr;HS:1:0_fpr;HS:1:0_tpr;c1_s1000_fpfhs_r5_d2_K100_i0_hier_fpr;c1_s1000_fpfhs_r5_d2_K100_i0_hier_tpr;c20_s1000_fpfhs_r10_d2_K100_i0_hier_fpr;c20_s1000_fpfhs_r10_d2_K100_i0_hier_tpr;c20_s1000_fpfhs_r3_d2_K100_i0_hier_fpr;c20_s1000_fpfhs_r3_d2_K100_i0_hier_tpr;c20_s1000_fpfhs_r3_r5_d2_K100_i0_hier_fpr;c20_s1000_fpfhs_r3_r5_d2_K100_i0_hier_tpr;c20_s1000_fpfhs_r5_d0_K100_i0_fpr;c20_s1000_fpfhs_r5_d0_K100_i0_tpr;c20_s1000_fpfhs_r5_d0_K100_i0_hier_fpr;c20_s1000_fpfhs_r5_d0_K100_i0_hier_tpr;c20_s1000_fpfhs_r5_d1_K100_i0_fpr;c20_s1000_fpfhs_r5_d1_K100_i0_tpr;c20_s1000_fpfhs_r5_d1_K100_i0_hier_fpr;c20_s1000_fpfhs_r5_d1_K100_i0_hier_tpr;c20_s1000_fpfhs_r5_d2_K100_i0_hier_fpr;c20_s1000_fpfhs_r5_d2_K100_i0_hier_tpr;c20_s1000_fpfhs_r5_d2_K100_i1_hier_fpr;c20_s1000_fpfhs_r5_d2_K100_i1_hier_tpr;c20_s1000_fpfhs_r5_d2_K100_i2_hier_fpr;c20_s1000_fpfhs_r5_d2_K100_i2_hier_tpr;c20_s1000_fpfhs_r5_d2_K100_i3_hier_fpr;c20_s1000_fpfhs_r5_d2_K100_i3_hier_tpr;c20_s1000_fpfhs_r5_d2_K200_i0_hier_fpr;c20_s1000_fpfhs_r5_d2_K200_i0_hier_tpr;c20_s1000_fpfhs_r5_d2_K500_i0_hier_fpr;c20_s1000_fpfhs_r5_d2_K500_i0_hier_tpr;c20_s1000_fpfhs_r5_d2_K50_i0_hier_fpr;c20_s1000_fpfhs_r5_d2_K50_i0_hier_tpr;c20_s1000_fpfhs_r5_d2_K800_i0_hier_fpr;c20_s1000_fpfhs_r5_d2_K800_i0_hier_tpr;c20_s1000_pfhs_r5_d0_K100_i0_hier_fpr;c20_s1000_pfhs_r5_d0_K100_i0_hier_tpr;c20_s1000_pfhs_r5_d2_K100_i0_hier_fpr;c20_s1000_pfhs_r5_d2_K100_i0_hier_tpr;c20_s100_fpfhs_r5_d2_K100_i0_hier_fpr;c20_s100_fpfhs_r5_d2_K100_i0_hier_tpr;c20_s10_fpfhs_r5_d2_K100_i0_hier_fpr;c20_s10_fpfhs_r5_d2_K100_i0_hier_tpr;c20_s2000_fpfhs_r5_d2_K100_i0_hier_fpr;c20_s2000_fpfhs_r5_d2_K100_i0_hier_tpr;c20_s500_fpfhs_r5_d2_K100_i0_hier_fpr;c20_s500_fpfhs_r5_d2_K100_i0_hier_tpr;c20_s50_fpfhs_r5_d2_K100_i0_hier_fpr;c20_s50_fpfhs_r5_d2_K100_i0_hier_tpr;c400_s1000_fpfhs_r5_d2_K100_i0_hier_fpr;c400_s1000_fpfhs_r5_d2_K100_i0_hier_tpr;c400_s1000_fpfhs_r5_d2_K800_i0_hier_fpr;c400_s1000_fpfhs_r5_d2_K800_i0_hier_tpr
9.109622909203125493e-03;8.875240792738971207e-03;6.927053888995713705e-03;5.432620838454868539e-02;6.964739577952647719e-03;5.900090826484959833e-02;7.687896518200169893e-03;3.524302685166860044e-02;8.088741249658528212e-03;5.002413807993082162e-02;6.859398364662014184e-03;6.266631895213618797e-02;1.577722352721392524e-02;5.929671899125978085e-02;1.240036563064126837e-02;6.066651601429561697e-02;1.679299792981507958e-02;7.082342380015099748e-02;9.334723465808545881e-03;6.245382335905002441e-02;1.160416805875260499e-02;6.014628827205699413e-02;8.480049504499488980e-03;6.024303938953580462e-02;3.980403296927227663e-02;6.161110444439756029e-02;3.990569143229470012e-02;5.890706729449944612e-02;9.386325487386590338e-03;6.078643271632008793e-02;9.148538505468130355e-03;6.188866942916572411e-02;9.413575771803305708e-03;6.287342861030892349e-02;1.274574575109335174e-02;5.514007270411895589e-02;1.190143538706391751e-02;5.950869075776731715e-02;1.963432562059929873e-02;5.879398014816897278e-02;5.033515956250578932e-02;7.184907978185026134e-02;1.797208095671067735e-02;5.584018301581083338e-02;9.272771849799859786e-03;5.496101919285920762e-02;1.010345654319932951e-02;5.715786880614325688e-02;1.269377730425132363e-02;5.075712702952867028e-02;2.220744877057542407e-02;2.714477417452030791e-02;9.190935653281872078e-03;6.230729443982716692e-02;9.585159445552925497e-03;5.971901702665010497e-02;2.172249382633923906e-02;4.714034555694003592e-02;1.186123689321348651e-02;5.682266791025467750e-02;4.794325860871686412e-02;6.322719260860991397e-02
8.245753015463937186e-03;8.105155454498033998e-03;5.665342776703916755e-03;4.562602320193351324e-02;5.666537721859334596e-03;4.985610394611373480e-02;6.319387295814562176e-03;2.997070266219087689e-02;6.673122622637647251e-03;4.176544319534503807e-02;5.648693640901170446e-03;5.263185903111293473e-02;1.453815499985528815e-02;5.234229700655602252e-02;1.116805407580854885e-02;5.373314326174756517e-02;1.547299668397342925e-02;6.212214502006568190e-02;7.792420589231225866e-03;5.362472544281524089e-02;1.022932460915321022e-02;5.225908843851771041e-02;7.163593635662591358e-03;5.212494939020695384e-02;3.708406866569147892e-02;5.390988546906878842e-02;3.636607421248008037e-02;5.182448905026847824e-02;7.903362258402562082e-03;5.230077088037887040e-02;7.870936293539063100e-03;5.409393043074423035e-02;8.152231647118873478e-03;5.482411793560100499e-02;1.139706720267034609e-02;4.839532718614161094e-02;1.060264971389047670e-02;5.143899211729746623e-02;1.585566756935469571e-02;5.019240154386807318e-02;4.826151874603982345e-02;6.453775236594250231e-02;1.493203695312724302e-02;4.738211336323930323e-02;7.948918398642578279e-03;4.681763680713676989e-02;8.756971575155968537e-03;4.939795829847180159e-02;1.134055966980508298e-02;4.434887921615013329e-02;2.036222582636670886e-02;2.481558390206349204e-02;7.858850525351306418e-03;5.361156766575168181e-02;8.325500729757911653e-03;5.144680508798851748e-02;2.006138124949132656e-02;4.171512667664907525e-02;1.060309549840173643e-02;4.883776262482560082e-02;4.643487049827121210e-02;5.776358114095179325e-02
7.461111715376775484e-03;7.405846724431188431e-03;4.592535656072408226e-03;3.828251528656283209e-02;4.543964529889248094e-03;4.155381307590560319e-02;5.150926274230161264e-03;2.534124203136711370e-02;5.510545189910676968e-03;3.483323072947055316e-02;4.659158601674865362e-03;4.369432015016712356e-02;1.347709872064304856e-02;4.587347670769771624e-02;1.011399205915699921e-02;4.748829825341334410e-02;1.440023988482407556e-02;5.441620805736557126e-02;6.683345211096348992e-03;4.564029060713650082e-02;8.964781879606359763e-03;4.444325311565570924e-02;6.069123705152871043e-03;4.483557533264780764e-02;3.373972009607175554e-02;4.740017543469349226e-02;3.176120362448019846e-02;4.498139028179909404e-02;6.846435832382550581e-03;4.457542667046961171e-02;6.854663440253807791e-03;4.682549550451584053e-02;7.136652648440412749e-03;4.767353991843598093e-02;1.024579076060536630e-02;4.175215157653372477e-02;9.400482727119513840e-03;4.332978212888173586e-02;1.326440134588040103e-02;4.218949065871014509e-02;4.640137620528157064e-02;5.829896127776013764e-02;1.330236775115986418e-02;4.029151665996486692e-02;6.830653026656799930e-03;3.960198771292738895e-02;7.586304409057737647e-03;4.220897353953047965e-02;1.024570888841914301e-02;3.854093348426811116e-02;1.883444917776871952e-02;2.286517152318301785e-02;6.736868907160675594e-03;4.569205640668910079e-02;7.268604249009705774e-03;4.394944127662726158e-02;1.774122197719508326e-02;3.690694184936375161e-02;9.560063881472680158e-03;4.219358427004484685e-02;3.064258144606752179e-02;4.452421197813026532e-02
6.683264825103848485e-03;6.710159401715146653e-03;3.748837640664322030e-03;3.160396148193571342e-02;3.633412895450059948e-03;3.433262305287745897e-02;4.165132024388627612e-03;2.121914796244131832e-02;4.561853306560694626e-03;2.847566896293872094e-02;3.822426046523331056e-03;3.602635377580633985e-02;1.259281501506038202e-02;4.023326757912364798e-02;9.217413702573413331e-03;4.149127236532487717e-02;1.342651872277374897e-02;4.765832171503697062e-02;5.786383408682338816e-03;3.843628855124751192e-02;8.049630908907333404e-03;3.755544807101629523e-02;5.156765772669318071e-03;3.780229019538698665e-02;3.235420177540877101e-02;4.191908813533903183e-02;3.025029102795597294e-02;3.982840232341369746e-02;5.963033511445885171e-03;3.770853624079822941e-02;6.003934882142842981e-03;4.031546170531860596e-02;6.283241558348746751e-03;4.112089085320581872e-02;9.274886959758765065e-03;3.599903514920947678e-02;8.489846732693288531e-03;3.654255524918834097e-02;1.181318058415671210e-02;3.556943877707492707e-02;4.472653971939474088e-02;5.241065063962014464e-02;1.193472468509784376e-02;3.395503938814748573e-02;5.922070399264635007e-03;3.288750351518091031e-02;6.655814861685212247e-03;3.570885473619324346e-02;9.329366829688290688e-03;3.309214657976925628e-02;1.749193470861256511e-02;2.082727762963625107e-02;5.798273521976354990e-03;3.873664139132428769e-02;6.390143863003953061e-03;3.722419127006522388e-02;1.663446393441911364e-02;3.266174461516866551e-02;8.724293759824905403e-03;3.639816677392430228e-02;1.877186286517081026e-02;3.437667373112390790e-02
5.884446850030405213e-03;5.857591145502823865e-03;2.988181370709826028e-03;2.579299222251796656e-02;2.853032433703253136e-03;2.761266923932870210e-02;3.347421676045023511e-03;1.762879813041177968e-02;3.820085999824446299e-03;2.307009849480308114e-02;3.205851853867101170e-03;2.943448229997334270e-02;1.182959674491237609e-02;3.528978487026934036e-02;8.481059111073621648e-03;3.602085594458279139e-02;1.251352668159332049e-02;4.092465878699783760e-02;5.035705647421295089e-03;3.199813183101486019e-02;6.572461473223701472e-03;3.060334859762608301e-02;4.413972871134389832e-03;3.176670490873886865e-02;2.988449405531694650e-02;3.656995945861410413e-02;2.921047309340538828e-02;3.527709034771590868e-02;5.204971003675983206e-03;3.150938702539804459e-02;5.249919939832269761e-03;3.385465667930743355e-02;5.533723954451177755e-03;3.476562492425528533e-02;8.453008659402497585e-03;3.055749829671703527e-02;7.704162152804339136e-03;3.072167982958915605e-02;1.082584065996987713e-02;2.955937764406955243e-02;4.297263906034128750e-02;4.712088332931922696e-02;1.076733872524547435e-02;2.856935327625184304e-02;5.158652239650740774e-03;2.744799167101712525e-02;5.838408742440610519e-03;2.997144769436323186e-02;8.557517854654023495e-03;2.836038126016147964e-02;1.637968413736106202e-02;1.911277376682482543e-02;5.001669596737629182e-03;3.196467067190519873e-02;5.654139219084235862e-03;3.138326575854349931e-02;1.579037185588026693e-02;2.870074476229957441e-02;8.016400484579173577e-03;3.125027044130497533e-02;1.403023308885879145e-02;2.845443203462951279e-02
5.119290332821131197e-03;5.065707815717318367e-03;2.405065824121735332e-03;2.105340953762356582e-02;2.231950182926781701e-03;2.157353212857600344e-02;2.664760344208364894e-03;1.421379749316815412e-02;3.136968124947423896e-03;1.819262733884971853e-02;2.760313903982422254e-03;2.437319551476576848e-02;1.117258802401331456e-02;3.097250641891048650e-02;7.813697126680056726e-03;3.112759146928104070e-02;1.185959094007336782e-02;3.520274857529320095e-02;4.416210038264550657e-03;2.601239452835779273e-02;5.923440291373567070e-03;2.520823864922819985e-02;3.777862182287172223e-03;2.587099342070338370e-02;2.899987721370711827e-02;3.264084473889374699e-02;2.739339534956123159e-02;3.082334476156635417e-02;4.574527000283263971e-03;2.577198226248324925e-02;4.631349258899768694e-03;2.838147766491052118e-02;4.923500961099176731e-03;2.894975124807443873e-02;7.745274949422426870e-03;2.574068356214822065e-02;7.072047156349898014e-03;2.580677107786651797e-02;9.896568472566640018e-03;2.437105100145747077e-02;4.067845003918823393e-02;4.152550214609877083e-02;8.888588046876430906e-03;2.316016791485673437e-02;4.506974442562035159e-03;2.279471702720373832e-02;5.109574608745168396e-03;2.452967964316144292e-02;7.775904498725916617e-03;2.386153670235945448e-02;1.534438889151751306e-02;1.758369157642269281e-02;4.356201005215299196e-03;2.616381568576910122e-02;5.033468995942987946e-03;2.607623329742742718e-02;1.508782813684026065e-02;2.530188674507733923e-02;7.422926618810087203e-03;2.668655082127809747e-02;1.272602462620052964e-02;2.458332054048491255e-02
4.343543252735510528e-03;4.363406822546140804e-03;1.940711836074316028e-03;1.693119868737844383e-02;1.700685867180440260e-03;1.641442119864981730e-02;2.090822969100180305e-03;1.137974530072655838e-02;2.458581050377490855e-03;1.392171412274873649e-02;2.463376920251541830e-03;2.068630051068415590e-02;1.053450499032450999e-02;2.639538025451664688e-02;7.236283078690618729e-03;2.664077440988764367e-02;1.129426322997773013e-02;3.006906452558164716e-02;3.866287170170981842e-03;2.067322434436598411e-02;5.323069637527885235e-03;2.008135055811968717e-02;3.245390707851524698e-03;2.049575092728930098e-02;2.713875938257445317e-02;2.851066905705387095e-02;2.572650432056926284e-02;2.692923621708340209e-02;4.018976775323838610e-03;2.063150320410088098e-02;4.096305249718380261e-03;2.291610950603116537e-02;4.395876040384870745e-03;2.385016708996400003e-02;7.107113646643101017e-03;2.145444299801332194e-02;6.537432036017251820e-03;2.119995933080468312e-02;8.796246576074657347e-03;2.001369222754798005e-02;3.967638861745384493e-02;3.727215496112416815e-02;8.094974747515477909e-03;1.882275120737788091e-02;3.940756349715656727e-03;1.849174380597180811e-02;4.507592420279853823e-03;2.005548447921156122e-02;7.129870114915484204e-03;2.026174188158084283e-02;1.418376588138114264e-02;1.614059893073379465e-02;3.816915780182096162e-03;2.072564879966502793e-02;4.483733983274026599e-03;2.139091538326085701e-02;1.439153449768695685e-02;2.186476065395934198e-02;6.923847539803788809e-03;2.261327086479491058e-02;1.159154809379625041e-02;2.067175250924640356e-02
3.605099021026912480e-03;3.649731154825405343e-03;1.552110109092175822e-03;1.378513050517632225e-02;1.263340964324973122e-03;1.186649084986623158e-02;1.619309324484521917e-03;8.481701221831916895e-03;1.863218915324546879e-03;1.028958629201090144e-02;2.272071234513614764e-03;1.834900359862385449e-02;9.931716852082930411e-03;2.223202537642982382e-02;6.694350579817500389e-03;2.237963064881560993e-02;1.087956662271976661e-02;2.565939947489055337e-02;3.381676089441146889e-03;1.604366708585207649e-02;4.778297644667943954e-03;1.564914216662291468e-02;2.775796861738001348e-03;1.592303097380268206e-02;2.226335706747628596e-02;2.336233986353375772e-02;2.477659194292626543e-02;2.359958084308627982e-02;3.533163528348470632e-03;1.613961368659195747e-02;3.629662450404306379e-03;1.816908382147213244e-02;3.939486035358122536e-03;1.926139844467912587e-02;6.557849802490548115e-03;1.754426016678276024e-02;6.065266661219343748e-03;1.717686272057733152e-02;8.279285739302944327e-03;1.630308512629154508e-02;3.828390363772911364e-02;3.321721393355275831e-02;7.544059286925629618e-03;1.515660180102949145e-02;3.466378532468735330e-03;1.458936545798847524e-02;4.011315540340842055e-03;1.575550431288335815e-02;6.627136631904010505e-03;1.701029657881272805e-02;1.291511913335482292e-02;1.457992743624206625e-02;3.361392998139400498e-03;1.613518702305289862e-02;4.028573437079539798e-03;1.737206311511993451e-02;9.983166526485568598e-03;1.705495950030819566e-02;6.515352221802454304e-03;1.888812104491224136e-02;8.916989169224365588e-03;1.652977067542562087e-02
2.855533027202883985e-03;2.960755347053422703e-03;1.252471566249555501e-03;1.099494226282196445e-02;9.058313098665080575e-04;8.016947091931429445e-03;1.235196288142311263e-03;5.991816276900294863e-03;1.414892179235462686e-03;7.166457719951334869e-03;2.164591737982712698e-03;1.719988740469974645e-02;9.312618988551386520e-03;1.791530365327101415e-02;6.179988924183556914e-03;1.772776170609006649e-02;1.048770313751525365e-02;2.163497124555314663e-02;2.994583961502515074e-03;1.190908898823882928e-02;3.344048413945269627e-03;1.157680168853197911e-02;2.375688274734103021e-03;1.129606916992502083e-02;2.079878134764651457e-02;1.991132176814263549e-02;2.406948969407999087e-02;2.063149138678816927e-02;3.121907786297381093e-03;1.171116734973581992e-02;3.169312845163536028e-03;1.376589146873647730e-02;3.527245250103534704e-03;1.437968648630717425e-02;5.984780150835645497e-03;1.355329576305093486e-02;5.670410515427343028e-03;1.346406724960177298e-02;7.849488695439790775e-03;1.295354031356093366e-02;3.673742978123166469e-02;2.943837309176255621e-02;7.078874185402863825e-03;1.201663882158390990e-02;3.066234755170492259e-03;1.129531240028059345e-02;3.576921736338777112e-03;1.181389794805776626e-02;6.179517241041384591e-03;1.411575735469976223e-02;1.144375687158766426e-02;1.205771235971566172e-02;2.702054726954553152e-03;1.174572191746829468e-02;3.658214548598900592e-03;1.377148637508846842e-02;8.367555973668800579e-03;1.372444886473463826e-02;6.190893765417865638e-03;1.565106922676631068e-02;7.873983029783581181e-03;1.370710008691732734e-02
2.116383100640494962e-03;2.269949139980014397e-03;9.659507169879606812e-04;8.290648856812070366e-03;6.184455743944923837e-04;4.854338964620820429e-03;9.304136123314003717e-04;3.899849550920753832e-03;1.059382452227931306e-03;4.642935815536408314e-03;2.092573672590398656e-03;1.654744383503693739e-02;8.490415121932064560e-03;1.374247797836360314e-02;5.621647501093397260e-03;1.261967672292324538e-02;1.021864851741967686e-02;1.836897166346440971e-02;2.665460325486422241e-03;8.236526224617610192e-03;2.859144050350417941e-03;8.215968905073083028e-03;2.042782992094700593e-03;7.727597564750491275e-03;1.977002414420608520e-02;1.678701120366914504e-02;2.296618989586061976e-02;1.772967446617700060e-02;2.812025780869128588e-03;8.080748551332060312e-03;2.807543160601145681e-03;1.015255003195295741e-02;3.214677323045131430e-03;1.081603645418028822e-02;5.486398243542697263e-03;1.027098060464860796e-02;5.325977769670455809e-03;1.008825889238492909e-02;7.396317504805299467e-03;1.008208865749398234e-02;3.563243076710088941e-02;2.595310008136383906e-02;6.120432466972359521e-03;9.085643142052634430e-03;2.724556834156461726e-03;8.155282807014656299e-03;3.208534959326325275e-03;8.408607266892265467e-03;5.796344654884523495e-03;1.174261357668499560e-02;1.041853505515673989e-02;1.055378903442477471e-02;2.398925675317432286e-03;7.986985205904162041e-03;3.342825873768973197e-03;1.084584021856569054e-02;7.465624226393533826e-03;1.091320534435255042e-02;5.931100967001300128e-03;1.302369641957727524e-02;6.688474611658485822e-03;1.094092212014100701e-02
1.384451389132162992e-03;1.516573486337188196e-03;4.748247144593061085e-04;2.747361712632761643e-03;4.340370253382891570e-04;2.492007254079015282e-03;7.001945539293172489e-04;2.269585456104745297e-03;7.893906895765748265e-04;2.655288504454468221e-03;2.019659835251463951e-03;1.602201513474757477e-02;7.564096605409560345e-03;8.095543117208526054e-03;3.154932175864899515e-03;5.527571253860937700e-03;1.000650230676295577e-02;1.540924179536677999e-02;4.856493796596042523e-03;7.760284480328076898e-03;5.006835857933445919e-03;7.841185915482397004e-03;4.294985908059640797e-03;7.168671141800270034e-03;1.586276392714956393e-02;1.226565381382763512e-02;2.069275708349069265e-02;1.600865758915160156e-02;4.978760209432523016e-03;7.825548956919153171e-03;4.942979822503499460e-03;9.578045015841857648e-03;5.477304691532787310e-03;1.033440383589752723e-02;5.036056080577844436e-03;7.501934654870476456e-03;4.982066077307714322e-03;7.636744183580021841e-03;6.867666176412784255e-03;7.504290321173596665e-03;3.290699282207035919e-02;2.152528553600688635e-02;4.205891452482735104e-03;5.529238961652550681e-03;4.911150294705270147e-03;7.516030547875670979e-03;5.387163897624477719e-03;7.250780664858556303e-03;5.456958098827541237e-03;9.185103689675231872e-03;7.183034469509750122e-03;7.533574375314437861e-03;4.440917907399979762e-03;7.042051704666793359e-03;5.574483130989957465e-03;1.036218031143388771e-02;8.433652281230732961e-03;1.004288907343925917e-02;5.746658311248180849e-03;1.099689416311331984e-02;7.752024572140224674e-03;1.106301573317430668e-02
0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
